root_uid	argmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	qnode_type_id	arg_status	level
L0C0492UF	ENL0C04958V.000003	L0C04958V	149	159	coronavirus	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	coronavirus	MHI	Unspecified	Unspecified	Q12136	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000022	L0C04958V	858	868	Zhao Lijian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Zhao Lijian	PER	Unspecified	Unspecified	Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000022	L0C04958V	858	868	Zhao Lijian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Zhao Lijian	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000225	L0C04958V	2648	2654	article	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	article	INF	Unspecified	Unspecified	Q11028	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000070	L0C04958V	2659	2662	Zhao	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Zhao	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000080	L0C04958V	3006	3009	they	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	they	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000233	L0C04958V	3109	3119	coronavirus	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	coronavirus	MHI	Unspecified	Unspecified	Q11028	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000082	L0C04958V	3126	3133	Romanoff	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Romanoff	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000235	L0C04958V	3216	3226	coronavirus	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	coronavirus	MHI	Unspecified	Unspecified	Q11028	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000086	L0C04958V	3257	3258	US	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	US	GPE	Unspecified	Unspecified	Q11028	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000098	L0C04958V	3618	3625	Romanoff	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Romanoff	PER	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000099	L0C04958V	3669	3670	US	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	US	GPE	Unspecified	Unspecified	Q11028	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000100	L0C04958V	3672	3679	military	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	military	ORG	Unspecified	Unspecified	Q11028	EMPTY_NA	EMPTY_NA
L0C0492UF	ENL0C04958V.000240	L0C04958V	3765	3770	virus.	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	virus.	MHI	Unspecified	Unspecified	Q11028	EMPTY_NA	EMPTY_NA
