root_uid	eventmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	qnode_type_id	attribute	qnode_attribute_id	start_date_type	start_date	end_date_type	end_date
L0C04CKD8	EVL0C04CVH7.000001	L0C04CVH7	24	29	impose	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Cuomo says he will not impose martial law in NY over coronavirus	government	legislate	legislate	process	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000002	L0C04CVH7	7	10	says	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Cuomo says he will not impose martial law in NY over coronavirus	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000003	L0C04CVH7	134	139	impose	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Andrew Cuomo said Thursday that he is not going to impose martial law as he sought to quell what he said was panic over the possibility of New York City residents being told to shelter in place to curb the spread of the coronavirus.	government	legislate	legislate	process	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000004	L0C04CVH7	96	99	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Andrew Cuomo said Thursday that he is not going to impose martial law as he sought to quell what he said was panic over the possibility of New York City residents being told to shelter in place to curb the spread of the coronavirus.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000005	L0C04CVH7	169	173	quell	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Andrew Cuomo said Thursday that he is not going to impose martial law as he sought to quell what he said was panic over the possibility of New York City residents being told to shelter in place to curb the spread of the coronavirus.	control	impedeinterferewith	unspecified	Q1717246 | difficulty	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000006	L0C04CVH7	725	732	imposing	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	New York City Mayor Bill de Blasio said Tuesday he was considering imposing such rules in the city, which has recorded at least 11 deaths from COVID-19.	government	legislate	legislate	process	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000007	L0C04CVH7	693	696	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	New York City Mayor Bill de Blasio said Tuesday he was considering imposing such rules in the city, which has recorded at least 11 deaths from COVID-19.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000008	L0C04CVH7	789	794	deaths	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	New York City Mayor Bill de Blasio said Tuesday he was considering imposing such rules in the city, which has recorded at least 11 deaths from COVID-19.	life	die	nonviolentdeath	causes	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000009	L0C04CVH7	822	825	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	But Cuomo said on CNN that the term shelter in place originated with preparations for nuclear war.	contact	contact	meet	Q21170798	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000010	L0C04CVH7	865	874	originated	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	But Cuomo said on CNN that the term shelter in place originated with preparations for nuclear war.	artifactexistence	creation	unspecified	Q11398090	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C04CKD8	EVL0C04CVH7.000011	L0C04CVH7	1125	1128	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Now, that's not what people really mean, but that's what it sounds like," Cuomo said.	contact	contact	meet	Q21170798	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
